               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089834,            0.027126,            0.026543,             0.13437,             0.66933,             0.36901,             0.10598,            0.057971,            0.017486,            0.019357,            0.070326,           0.0032971,           0.0032971
                   1,            0.067139,            0.024554,            0.014604,              0.5677,             0.59987,             0.58331,             0.24089,            0.057014,            0.011539,           0.0053815,            0.040195,           0.0064992,           0.0064992
                   2,            0.062458,            0.017148,           0.0068036,             0.52394,             0.76347,             0.58811,             0.26209,            0.046167,           0.0098285,           0.0035913,           0.0099315,           0.0095692,           0.0095692
                   3,            0.057074,            0.016069,           0.0050657,             0.61197,             0.80862,             0.72705,             0.33873,            0.044465,           0.0086507,           0.0026257,            0.009406,            0.009406,            0.009406
                   4,            0.050126,            0.012716,            0.004049,             0.66261,             0.89924,             0.83077,             0.39348,            0.038462,            0.007866,           0.0022184,            0.009406,            0.009406,            0.009406
                   5,            0.044821,            0.012648,           0.0029976,             0.92917,             0.92141,             0.96882,              0.5474,            0.034079,           0.0061252,           0.0019208,            0.009208,            0.009208,            0.009208
                   6,            0.040746,            0.011852,           0.0024781,              0.9115,             0.90332,             0.94402,             0.47101,            0.036006,           0.0060449,           0.0027498,             0.00901,             0.00901,             0.00901
                   7,            0.039032,            0.012204,           0.0029651,             0.95399,             0.83728,             0.92407,             0.55274,            0.031411,           0.0067344,           0.0056443,            0.008812,            0.008812,            0.008812
                   8,            0.036045,            0.010643,            0.003327,             0.95759,             0.91079,             0.96292,             0.53764,            0.031054,           0.0060143,           0.0026103,            0.008614,            0.008614,            0.008614
                   9,            0.035982,            0.010902,            0.002743,              0.9689,             0.95278,              0.9791,             0.57908,            0.028628,           0.0053985,           0.0026354,            0.008416,            0.008416,            0.008416
                  10,              0.0339,             0.01034,           0.0023371,             0.94849,             0.96008,             0.97857,             0.61197,            0.029077,           0.0052634,           0.0018461,            0.008218,            0.008218,            0.008218
                  11,            0.033788,            0.010251,             0.00201,             0.96664,             0.94741,             0.98485,             0.62048,            0.027233,           0.0052872,           0.0017658,             0.00802,             0.00802,             0.00802
                  12,            0.032626,            0.010025,           0.0023886,             0.95151,             0.93679,             0.97558,              0.6094,            0.027987,           0.0052555,           0.0022647,            0.007822,            0.007822,            0.007822
                  13,            0.031515,           0.0099234,           0.0017962,             0.97472,             0.95389,             0.98158,             0.60617,            0.026131,           0.0050863,           0.0014596,            0.007624,            0.007624,            0.007624
                  14,            0.030513,            0.009411,           0.0022747,             0.97761,             0.95465,             0.98028,             0.60737,            0.027238,           0.0050189,           0.0021716,            0.007426,            0.007426,            0.007426
                  15,             0.02979,            0.010507,           0.0022841,             0.98564,             0.95506,             0.98494,             0.62636,            0.024606,           0.0048857,           0.0020459,            0.007228,            0.007228,            0.007228
                  16,            0.029276,            0.009519,           0.0016579,             0.98183,             0.96108,              0.9891,             0.65604,            0.024171,           0.0046943,           0.0015926,             0.00703,             0.00703,             0.00703
                  17,            0.029478,            0.010965,           0.0016636,             0.98104,             0.98167,             0.99104,             0.63898,            0.024113,           0.0047149,           0.0014086,            0.006832,            0.006832,            0.006832
                  18,            0.027254,           0.0084284,           0.0017108,             0.97483,             0.97893,             0.98722,             0.61402,            0.024909,           0.0048531,           0.0014034,            0.006634,            0.006634,            0.006634
                  19,            0.027888,           0.0085158,           0.0018271,             0.98178,             0.98616,             0.99056,             0.67395,            0.022308,           0.0046375,           0.0013404,            0.006436,            0.006436,            0.006436
                  20,            0.026989,           0.0087268,           0.0017195,             0.97692,             0.97483,             0.99115,              0.6731,            0.022816,           0.0047207,           0.0014605,            0.006238,            0.006238,            0.006238
                  21,            0.026246,           0.0084721,           0.0016373,             0.98898,              0.9687,             0.98918,             0.66438,             0.02355,           0.0046242,           0.0016658,             0.00604,             0.00604,             0.00604
                  22,            0.026331,           0.0088069,           0.0019224,              0.9921,             0.96431,             0.98564,              0.6859,            0.022255,           0.0046002,           0.0028163,            0.005842,            0.005842,            0.005842
                  23,            0.025357,           0.0083241,           0.0014294,             0.99051,             0.96818,             0.98974,             0.64387,            0.022892,           0.0045812,           0.0013631,            0.005644,            0.005644,            0.005644
                  24,            0.025838,           0.0090197,           0.0016574,             0.98917,             0.98454,             0.99101,             0.68235,            0.022748,           0.0045898,           0.0012581,            0.005446,            0.005446,            0.005446
                  25,            0.025625,           0.0091092,           0.0015283,             0.98614,             0.97361,             0.98794,             0.68127,            0.021967,           0.0045612,           0.0012958,            0.005248,            0.005248,            0.005248
                  26,            0.024431,           0.0086472,           0.0017215,             0.98219,             0.99021,             0.99183,             0.68696,            0.021626,              0.0045,           0.0013596,             0.00505,             0.00505,             0.00505
                  27,            0.024042,           0.0077768,           0.0015841,             0.98776,              0.9719,             0.98804,             0.68768,            0.021832,           0.0045125,           0.0017016,            0.004852,            0.004852,            0.004852
                  28,            0.024478,           0.0089991,           0.0014937,             0.98722,             0.97469,               0.988,             0.70736,             0.02121,           0.0044751,           0.0014832,            0.004654,            0.004654,            0.004654
                  29,            0.024058,           0.0091752,           0.0013817,             0.99034,             0.97431,             0.98906,             0.69539,            0.021364,           0.0044619,           0.0014123,            0.004456,            0.004456,            0.004456
                  30,            0.023347,           0.0078997,           0.0014972,             0.98636,             0.97746,             0.98767,             0.71552,            0.020308,            0.004349,           0.0015311,            0.004258,            0.004258,            0.004258
                  31,            0.023432,           0.0074541,           0.0012653,             0.98776,             0.97594,             0.98849,             0.69786,             0.02135,           0.0044038,           0.0016072,             0.00406,             0.00406,             0.00406
                  32,            0.023214,            0.009017,           0.0014865,             0.98463,             0.99087,             0.99068,             0.70838,            0.020461,            0.004377,           0.0013032,            0.003862,            0.003862,            0.003862
                  33,            0.022632,           0.0078046,           0.0010367,             0.98669,             0.99115,             0.98921,             0.69932,            0.020883,           0.0043789,           0.0012289,            0.003664,            0.003664,            0.003664
                  34,            0.022483,           0.0077969,           0.0009955,             0.98418,             0.99157,             0.99007,             0.69618,            0.020575,           0.0043893,           0.0011878,            0.003466,            0.003466,            0.003466
                  35,            0.022034,             0.00808,           0.0013214,              0.9818,             0.98618,             0.98946,             0.69792,            0.020565,           0.0043117,           0.0011941,            0.003268,            0.003268,            0.003268
                  36,             0.02185,           0.0074332,           0.0012625,             0.98604,             0.98896,             0.98883,             0.70838,            0.020629,           0.0043677,           0.0012086,             0.00307,             0.00307,             0.00307
                  37,            0.021786,           0.0080557,           0.0015713,             0.98553,             0.99197,             0.98943,             0.70713,            0.020429,           0.0043082,           0.0012762,            0.002872,            0.002872,            0.002872
                  38,            0.021239,           0.0075986,           0.0015964,             0.98722,             0.99258,             0.98999,             0.71502,            0.019884,           0.0042843,           0.0012171,            0.002674,            0.002674,            0.002674
                  39,            0.022037,           0.0092219,            0.001398,             0.98552,             0.99095,             0.99012,             0.72003,            0.019981,            0.004282,           0.0011938,            0.002476,            0.002476,            0.002476
                  40,            0.021593,           0.0080879,            0.001066,             0.98846,             0.98776,             0.99052,             0.71753,            0.020002,           0.0042407,           0.0012227,            0.002278,            0.002278,            0.002278
                  41,            0.020994,           0.0078321,            0.001237,             0.98927,             0.98788,             0.98984,             0.71628,            0.019869,           0.0042595,           0.0012323,             0.00208,             0.00208,             0.00208
                  42,             0.02075,           0.0071475,          0.00082697,             0.98791,              0.9918,             0.99033,             0.71597,            0.019632,           0.0041902,           0.0012253,            0.001882,            0.001882,            0.001882
                  43,              0.0206,           0.0076209,           0.0012605,             0.98544,             0.99124,             0.98951,             0.71846,            0.019656,           0.0042026,           0.0012468,            0.001684,            0.001684,            0.001684
                  44,            0.020906,           0.0080806,           0.0012052,             0.99025,             0.99115,             0.99039,             0.72544,            0.019566,           0.0041766,           0.0012179,            0.001486,            0.001486,            0.001486
                  45,            0.020143,           0.0075992,           0.0014113,             0.98699,             0.99245,             0.99033,             0.72804,            0.019588,           0.0041967,           0.0012147,            0.001288,            0.001288,            0.001288
                  46,            0.020523,           0.0080117,           0.0010464,             0.98686,             0.98916,             0.98818,             0.72388,             0.01961,           0.0042029,           0.0012298,             0.00109,             0.00109,             0.00109
                  47,            0.019816,           0.0073597,           0.0010457,             0.98687,              0.9918,             0.99039,             0.72605,            0.019409,           0.0041911,           0.0012078,            0.000892,            0.000892,            0.000892
                  48,              0.0197,            0.007779,           0.0009378,             0.98689,              0.9923,             0.99044,             0.72486,            0.019271,           0.0041821,           0.0012246,            0.000694,            0.000694,            0.000694
                  49,            0.020002,            0.007537,          0.00099353,             0.98713,             0.99126,             0.99016,             0.72649,            0.019388,           0.0041988,           0.0012187,            0.000496,            0.000496,            0.000496
